주문번호,고객번호,사원번호,주문일,요청일,발송일
H0801,LIDBO,E04,2021-09-06,2021-10-04,2021-09-08
H0802,MOBSI,E04,2021-09-06,2021-10-04,2021-09-10
H0803,LLIWE,E04,2021-09-07,2021-10-05,2021-09-14
H0804,VESSE,E06,2021-09-07,2021-10-05,2021-09-15
H0805,EBITH,E03,2021-09-07,2021-10-05,2021-09-17
H0806,CTEVI,E03,2021-09-08,2021-10-06,2021-09-13
H0807,ANSFR,E04,2021-09-08,2021-10-06,2021-10-08
H0808,DWOOL,E03,2021-09-09,2021-10-07,2021-09-17
H0809,LLIWE,E07,2021-09-09,2021-10-07,2021-09-15
H0810,UGBLA,E03,2021-09-09,2021-10-07,2021-09-15
H0811,NODLI,E07,2021-09-10,2021-10-08,2021-09-16
H0812,GGCRE,E04,2021-09-10,2021-10-08,2021-09-20
H0813,CARRI,E01,2021-09-13,2021-10-11,2021-09-17
H0814,CTEVI,E03,2021-09-13,2021-10-11,2021-09-22
H0815,VEASA,E03,2021-09-13,2021-10-11,2021-09-22
H0816,EALGR,E04,2021-09-14,2021-10-12,2021-10-13
H0817,ENEKO,E03,2021-09-14,2021-09-28,2021-09-21
H0818,GAAMA,E07,2021-09-15,2021-10-13,2021-09-20
H0819,CTUCA,E03,2021-09-15,2021-10-13,2021-09-24
H0820,TTCRA,E03,2021-09-15,2021-10-13,2021-09-21
H0821,LIRSP,E01,2021-09-16,2021-10-14,2021-09-23
H0822,AIHTR,E06,2021-09-16,2021-10-14,2021-09-24
H0823,LASLI,E04,2021-09-17,2021-10-15,2021-09-21
H0824,LKOFO,E07,2021-09-17,2021-10-15,2021-10-08
H0825,ACDDR,E01,2021-09-17,2021-10-15,2021-09-22
H0826,ONPBL,E06,2021-09-20,2021-10-18,2021-10-15
H0827,NAPBO,E01,2021-09-20,2021-10-04,2021-10-15
H0828,NCHRA,E09,2021-09-21,2021-10-05,2021-10-13
H0829,LATIS,E09,2021-09-21,2021-10-19,2021-10-01
H0830,ADHTR,E04,2021-09-21,2021-11-02,2021-09-29
H0831,NTGSA,E03,2021-09-22,2021-10-20,2021-10-01
H0832,MAILA,E03,2021-09-22,2021-10-20,2021-09-27
H0833,TIKOT,E06,2021-09-23,2021-10-21,2021-10-01
H0834,ADHTR,E01,2021-09-23,2021-10-21,2021-09-27
H0835,NETVI,E01,2021-09-23,2021-10-21,2021-09-29
H0836,NSHER,E07,2021-09-24,2021-10-22,2021-09-29
H0837,RGSBE,E09,2021-09-24,2021-10-22,2021-10-01
H0838,NODLI,E03,2021-09-27,2021-10-25,2021-10-01
H0839,ADHTR,E03,2021-09-27,2021-10-25,2021-09-30
H0840,NODLI,E04,2021-09-27,2021-11-09,2021-10-25
H0841,PRDSU,E04,2021-09-28,2021-10-26,2021-10-07
H0842,RTUTO,E01,2021-09-28,2021-10-26,2021-10-07
H0843,CTEVI,E04,2021-09-29,2021-10-27,2021-10-04
H0844,CCOPI,E07,2021-09-29,2021-10-27,2021-10-04
H0845,ICKQU,E07,2021-09-29,2021-10-13,2021-10-08
H0846,PRDSU,E03,2021-09-30,2021-11-12,2021-10-01
H0847,VEASA,E04,2021-09-30,2021-10-14,2021-10-19
H0848,NSHCO,E07,2021-10-01,2021-10-29,2021-10-07
H0849,ENEKO,E09,2021-10-01,2021-10-29,2021-10-08
H0850,CTEVI,E01,2021-10-01,2021-11-13,2021-10-08
H0851,CARRI,E04,2021-10-04,2021-11-01,2021-10-11
H0852,TTCRA,E07,2021-10-04,2021-10-18,2021-10-08
H0853,AUSBL,E09,2021-10-05,2021-11-02,2021-10-12
H0854,NSHER,E03,2021-10-05,2021-11-02,2021-10-14
H0855,DWOOL,E03,2021-10-05,2021-11-02,2021-10-13
H0856,TONAN,E03,2021-10-06,2021-11-03,2021-10-19
H0857,RGSBE,E07,2021-10-06,2021-11-03,2021-10-15
H0858,CORLA,E03,2021-10-07,2021-11-04,2021-10-12
H0859,ANKFR,E01,2021-10-07,2021-11-04,2021-10-11
H0860,ANRFR,E03,2021-10-07,2021-11-04,2021-10-13
H0861,ITCWH,E04,2021-10-08,2021-11-05,2021-10-26
H0862,HMSLE,E07,2021-10-08,2021-11-20,2021-10-11
H0863,LAAHI,E04,2021-10-11,2021-11-09,2021-10-26
H0864,OUTAR,E04,2021-10-11,2021-11-09,2021-10-18
H0865,ICKQU,E03,2021-10-11,2021-10-25,2021-10-21
H0866,RGSBE,E04,2021-10-12,2021-11-10,2021-10-21
H0867,NEPLO,E06,2021-10-12,2021-11-24,2021-10-20
H0868,EENQU,E07,2021-10-13,2021-11-11,2021-11-01
H0869,VESSE,E04,2021-10-13,2021-11-11,2021-10-18
H0870,LZAWO,E04,2021-10-13,2021-11-11,2021-10-22
H0871,NAPBO,E09,2021-10-14,2021-11-12,2021-10-19
H0872,DOSGO,E04,2021-10-14,2021-11-12,2021-10-18
H0873,LMKWI,E04,2021-10-15,2021-11-13,2021-10-18
H0874,DOSGO,E04,2021-10-15,2021-11-13,2021-10-20
H0875,RGSBE,E04,2021-10-15,2021-11-13,2021-11-10
H0876,NAPBO,E07,2021-10-18,2021-11-16,2021-10-21
H0877,CARRI,E01,2021-10-18,2021-11-16,2021-10-28
H0878,ICKQU,E04,2021-10-19,2021-11-17,2021-10-21
H0879,LMKWI,E03,2021-10-19,2021-11-17,2021-10-21
H0880,LKOFO,E07,2021-10-19,2021-12-01,2021-10-27
H0881,CTUCA,E04,2021-10-20,2021-11-18,2021-10-27
H0882,VEASA,E04,2021-10-20,2021-11-18,2021-10-29
H0883,NEPLO,E07,2021-10-21,2021-11-19,2021-10-29
H0884,TSSLE,E04,2021-10-21,2021-11-19,2021-10-22
H0885,PRDSU,E06,2021-10-21,2021-11-19,2021-10-27
H0886,NARHA,E01,2021-10-22,2021-11-20,2021-11-09
H0887,LEDGA,E07,2021-10-22,2021-11-20,2021-10-25
H0888,DOSGO,E01,2021-10-25,2021-11-23,2021-11-01
H0889,TTCRA,E09,2021-10-25,2021-11-23,2021-11-01
H0890,MONDU,E07,2021-10-25,2021-11-23,2021-10-27
H0891,HMSLE,E07,2021-10-26,2021-11-24,2021-10-28
H0892,ISDMA,E04,2021-10-26,2021-11-24,2021-10-28
H0893,ENEKO,E09,2021-10-27,2021-11-25,2021-10-29
H0894,VEASA,E01,2021-10-27,2021-11-25,2021-10-29
H0895,NSHER,E03,2021-10-27,2021-11-25,2021-11-01
H0896,ISDMA,E07,2021-10-28,2021-11-26,2021-11-05
H0897,NGOHU,E03,2021-10-28,2021-11-26,2021-11-03
H0898,EANOC,E04,2021-10-29,2021-11-27,2021-11-13
H0899,LASLI,E04,2021-10-29,2021-11-27,2021-11-04
H0900,LLIWE,E01,2021-10-29,2021-11-27,2021-11-11
H0901,LAAHI,E04,2021-11-01,2021-11-30,2021-11-04
H0902,LKOFO,E01,2021-11-01,2021-11-30,2021-11-10
H0903,NARHA,E03,2021-11-02,2021-12-01,2021-11-11
H0904,ITCWH,E03,2021-11-02,2021-12-01,2021-11-05
H0905,LLIWE,E09,2021-11-02,2021-12-01,2021-11-13
H0906,LZAWO,E04,2021-11-03,2021-11-18,2021-11-10
H0907,ECDSP,E06,2021-11-03,2021-12-02,2021-11-05
H0908,GGCRE,E04,2021-11-04,2021-12-03,2021-11-13
H0909,NTGSA,E01,2021-11-04,2021-12-03,2021-11-17
H0910,LMKWI,E01,2021-11-04,2021-12-03,2021-11-11
H0911,DOSGO,E03,2021-11-04,2021-12-03,2021-11-12
H0912,NGOHU,E03,2021-11-04,2021-12-03,2021-11-25
H0913,EENQU,E04,2021-11-04,2021-12-03,2021-11-11
H0914,EENQU,E06,2021-11-05,2021-12-04,2021-11-09
H0915,RTUTO,E03,2021-11-05,2021-12-04,2021-11-09
H0916,NCHRA,E01,2021-11-05,2021-12-04,2021-11-16
H0917,MEYRO,E04,2021-11-09,2021-12-07,2021-11-18
H0918,TTMBO,E03,2021-11-09,2021-12-07,2021-11-18
H0919,NODLI,E03,2021-11-09,2021-12-07,2021-11-11
H0920,OUTAR,E04,2021-11-10,2021-12-08,2021-11-16
H0921,FFEVA,E01,2021-11-10,2021-12-22,2021-11-16
H0922,NARHA,E04,2021-11-10,2021-12-08,2021-11-12
H0923,MAILA,E07,2021-11-10,2021-12-22,2021-11-20
H0924,RGSBE,E03,2021-11-11,2021-12-09,2021-12-16
H0925,NARHA,E03,2021-11-11,2021-12-09,2021-11-20
H0926,ATRAN,E04,2021-11-11,2021-12-09,2021-11-18
H0927,CORLA,E04,2021-11-12,2021-12-10,2021-12-16
H0928,LEDGA,E01,2021-11-12,2021-12-10,2021-11-25
H0929,ANKFR,E06,2021-11-12,2021-12-10,2021-11-19
H0930,PRDSU,E04,2021-11-13,2021-12-25,2021-11-25
H0931,CSURI,E04,2021-11-13,2021-11-27,2021-11-26
H0932,NAPBO,E07,2021-11-13,2021-12-11,2021-12-01
H0933,LATIS,E06,2021-11-13,2021-12-11,2021-11-23
H0934,HMSLE,E03,2021-11-16,2021-12-14,2021-11-19
H0935,LLIWE,E04,2021-11-16,2021-12-14,2021-11-25
H0936,EALGR,E03,2021-11-16,2021-12-14,2021-11-25
H0937,CTUCA,E07,2021-11-17,2021-12-01,2021-11-20
H0938,ICKQU,E03,2021-11-17,2021-12-15,2021-11-23
H0939,GAAMA,E03,2021-11-17,2021-12-15,2021-11-20
H0940,NAPBO,E07,2021-11-18,2021-12-16,2021-11-30
H0941,VEASA,E07,2021-11-18,2021-12-16,2021-11-27
H0942,GGCRE,E09,2021-11-18,2021-12-16,2021-11-25
H0943,BEVBS,E04,2021-11-18,2021-12-16,2021-11-26
H0944,TTMBO,E06,2021-11-19,2021-12-03,2021-11-20
H0945,RGKMO,E04,2021-11-19,2021-12-17,2021-11-25
H0946,FFEVA,E01,2021-11-19,2021-12-17,2021-11-26
H0947,BEVBS,E03,2021-11-20,2021-12-18,2021-11-23
H0948,DOSGO,E03,2021-11-20,2021-12-18,2021-11-26
H0949,TTMBO,E03,2021-11-20,2021-12-18,2021-11-24
H0950,GAAMA,E01,2021-11-23,2021-12-21,2021-11-30
H0951,CSURI,E09,2021-11-23,2022-01-04,2021-12-15
H0952,FKIAL,E01,2021-11-23,2022-01-04,2021-12-01
H0953,OUTAR,E09,2021-11-23,2021-12-07,2021-12-02
H0954,NODLI,E04,2021-11-24,2022-01-05,2021-11-27
H0955,LKOFO,E07,2021-11-24,2021-12-22,2021-11-27
H0956,AUSBL,E06,2021-11-24,2022-01-05,2021-11-27
H0957,LAAHI,E07,2021-11-25,2021-12-23,2021-12-04
H0958,EANOC,E07,2021-11-25,2021-12-23,2021-12-04
H0959,URLGO,E06,2021-11-25,2022-01-06,2021-11-30
H0960,LAAHI,E03,2021-11-26,2021-12-10,2021-12-16
H0961,EENQU,E07,2021-11-26,2021-12-24,2021-12-07
H0962,ICKQU,E07,2021-11-26,2021-12-24,2021-11-30
H0963,RIBFU,E09,2021-11-26,2021-12-24,2021-12-03
H0964,ECDSP,E03,2021-11-27,2021-12-25,2021-12-01
H0965,DWOOL,E06,2021-11-27,2021-12-25,2021-12-07
H0966,OPSCH,E04,2021-11-27,2021-12-25,2021-12-16
H0967,MSPTO,E03,2021-11-30,2021-12-28,2021-12-10
H0968,NSHER,E01,2021-11-30,2021-12-28,2021-12-09
H0969,MMICO,E01,2021-11-30,2021-12-28,2021-12-07
H0970,LIDBO,E09,2021-12-01,2021-12-15,2022-01-01
H0971,ANRFR,E03,2021-12-01,2021-12-29,2021-12-10
H0972,CORLA,E04,2021-12-01,2021-12-29,2021-12-03
H0973,CORLA,E06,2021-12-01,2021-12-29,2021-12-04
H0974,LIRSP,E03,2021-12-02,2021-12-16,2021-12-11
H0975,TTMBO,E01,2021-12-02,2021-12-30,2021-12-04
H0976,LAAHI,E01,2021-12-02,2022-01-13,2021-12-11
H0977,LKOFO,E07,2021-12-03,2021-12-31,2021-12-18
H0978,ISDMA,E09,2021-12-03,2021-12-31,2021-12-31
H0979,NSHER,E07,2021-12-03,2021-12-31,2021-12-08
H0980,LKOFO,E04,2021-12-04,2022-01-15,2021-12-25
H0981,NARHA,E01,2021-12-04,2022-01-01,2021-12-10
H0982,TTMBO,E03,2021-12-04,2022-01-01,2021-12-16
H0983,VEASA,E03,2021-12-04,2022-01-01,2021-12-14
H0984,VEASA,E01,2021-12-07,2022-01-04,2021-12-11
H0985,NGOHU,E03,2021-12-07,2022-01-04,2021-12-10
H0986,EANOC,E07,2021-12-07,2022-01-04,2021-12-29
H0987,STCEA,E07,2021-12-08,2022-01-05,2021-12-14
H0988,TTCRA,E03,2021-12-08,2022-01-05,2021-12-18
H0989,EDEQU,E03,2021-12-08,2022-01-05,2021-12-10
H0990,NSHER,E03,2021-12-09,2022-01-20,2021-12-15
H0991,ICKQU,E01,2021-12-09,2022-01-06,2021-12-15
H0992,EBITH,E01,2021-12-09,2022-01-06,2021-12-11
H0993,LKOFO,E07,2021-12-09,2022-01-06,2021-12-18
H0994,FFEVA,E03,2021-12-10,2021-12-24,2021-12-17
H0995,RICPE,E01,2021-12-10,2022-01-07,2021-12-14
H0996,ICKQU,E04,2021-12-10,2022-01-07,2021-12-18
H0997,LASLI,E07,2021-12-11,2022-01-22,2021-12-21
H0998,LZAWO,E07,2021-12-11,2021-12-25,2021-12-25
H0999,TIKOT,E06,2021-12-11,2022-01-08,2021-12-18
H1000,TTCRA,E03,2021-12-14,2022-01-11,2021-12-22
H1001,LKOFO,E03,2021-12-14,2022-01-11,2021-12-22
H1002,VEASA,E04,2021-12-14,2022-01-11,2021-12-24
H1003,ECRTH,E03,2021-12-14,2022-01-11,2021-12-16
H1004,ISDMA,E03,2021-12-15,2022-01-12,2021-12-28
H1005,LMKWI,E03,2021-12-15,2022-01-12,2021-12-18
H1006,EALGR,E03,2021-12-15,2022-01-12,2021-12-23
H1007,INIPR,E07,2021-12-16,2022-01-13,2021-12-21
H1008,NSHER,E07,2021-12-16,2022-01-13,2021-12-21
H1009,DOSGO,E03,2021-12-16,2022-01-13,2021-12-18
H1010,GGCRE,E03,2021-12-17,2022-01-14,2021-12-29
H1011,FKIAL,E03,2021-12-17,2022-01-14,2021-12-21
H1012,ANKFR,E01,2021-12-17,2021-12-31,2021-12-25
H1013,MEYRO,E03,2021-12-17,2022-01-14,2021-12-18
H1014,NODLI,E03,2021-12-18,2022-01-15,2021-12-23
H1015,NTGSA,E03,2021-12-18,2022-01-01,2021-12-28
H1016,OUTAR,E09,2021-12-18,2022-01-15,2021-12-21
H1017,NSHER,E09,2021-12-21,2022-01-18,2021-12-28
H1018,NEPLO,E04,2021-12-21,2022-01-18,2021-12-24
H1019,NCHRA,E06,2021-12-21,2022-01-18,2021-12-26
H1020,TIKOT,E03,2021-12-22,2022-01-19,2021-12-24
H1021,ICKQU,E03,2021-12-22,2022-01-19,2021-12-29
H1022,NARHA,E09,2021-12-22,2022-01-19,2022-01-11
H1023,BEVBS,E01,2021-12-22,2022-01-05,2022-01-01
H1024,STCEA,E04,2021-12-23,2022-01-20,2021-12-28
H1025,RTHWA,E06,2021-12-23,2022-01-20,2022-01-01
H1026,ANSFR,E04,2021-12-23,2022-01-20,2022-01-05
H1027,TTMBO,E01,2021-12-24,2022-01-21,2021-12-28
H1028,ENEKO,E03,2021-12-24,2022-01-21,2021-12-30
H1029,OPSCH,E04,2021-12-24,2022-01-21,2022-01-04
H1030,VEASA,E07,2021-12-25,2022-01-22,2022-01-04
H1031,VEASA,E06,2021-12-25,2022-01-22,2022-01-01
H1032,ITCWH,E03,2021-12-25,2022-01-22,2021-12-31
H1033,CSURI,E07,2021-12-25,2022-01-22,2021-12-31
H1034,DWOOL,E07,2021-12-28,2022-02-08,2022-01-04
H1035,PRDSU,E03,2021-12-28,2022-01-25,2022-01-01
H1036,ACDDR,E07,2021-12-28,2022-01-25,2021-12-30
H1037,DOSGO,E07,2021-12-29,2022-01-26,2022-01-04
H1038,PRDSU,E01,2021-12-29,2022-01-26,2022-01-07
H1039,NODLI,E01,2021-12-29,2022-01-26,2022-01-03
H1040,EALGR,E04,2021-12-30,2022-01-27,2022-01-04
H1041,OPSCH,E03,2021-12-30,2022-01-27,2022-01-05
H1042,MMICO,E03,2021-12-30,2022-01-13,2022-01-08
H1043,ECDSP,E04,2021-12-30,2022-01-27,2022-01-06
H1044,LZAWO,E04,2021-12-31,2022-01-28,2022-01-08
H1045,TTMBO,E06,2021-12-31,2022-01-28,2022-01-05
H1046,NDKWA,E07,2021-12-31,2022-01-28,2022-01-01
H1047,STCEA,E07,2022-01-01,2022-01-29,2022-01-08
H1048,TTMBO,E07,2022-01-01,2022-01-29,2022-01-07
H1049,URLGO,E03,2022-01-01,2022-01-29,2022-01-11
H1050,LKOFO,E07,2022-01-04,2022-02-01,2022-01-12
H1051,MAILA,E07,2022-01-04,2022-02-01,2022-01-09
H1052,NARHA,E03,2022-01-04,2022-02-01,2022-01-08
H1053,CCOPI,E03,2022-01-04,2022-02-01,2022-01-06
H1054,CTUCA,E07,2022-01-05,2022-02-02,2022-01-10
H1055,LAAHI,E07,2022-01-05,2022-02-02,2022-01-12
H1056,STCEA,E07,2022-01-05,2022-01-19,2022-01-08
H1057,RTSNO,E03,2022-01-06,2022-02-03,2022-01-08
H1058,AUSBL,E09,2022-01-06,2022-02-03,2022-01-11
H1059,CARRI,E03,2022-01-06,2022-02-17,2022-01-11
H1060,ANSFR,E03,2022-01-07,2022-02-04,2022-01-11
H1061,EALGR,E04,2022-01-07,2022-02-18,2022-01-12
H1062,GGCRE,E04,2022-01-07,2022-02-04,2022-01-15
H1063,NGOHU,E03,2022-01-07,2022-02-04,2022-01-13
H1064,VEASA,E01,2022-01-08,2022-02-05,2022-01-11
H1065,LASLI,E07,2022-01-08,2022-02-05,2022-01-16
H1066,ITCWH,E07,2022-01-08,2022-02-05,2022-01-11
H1067,ACDDR,E01,2022-01-11,2022-01-25,2022-01-13
H1068,EENQU,E07,2022-01-11,2022-02-08,2022-01-19
H1069,RTUTO,E01,2022-01-11,2022-02-08,2022-01-13
H1070,HMSLE,E03,2022-01-12,2022-02-09,2022-02-12
H1071,LASLI,E01,2022-01-12,2022-02-09,2022-01-20
H1072,NSHER,E04,2022-01-12,2022-02-09,2022-01-20
H1073,RICPE,E03,2022-01-12,2022-02-09,2022-01-20
H1074,MOBSI,E07,2022-01-13,2022-02-10,2022-01-23
H1075,CSURI,E07,2022-01-13,2022-02-10,2022-01-23
H1076,NAPBO,E04,2022-01-13,2022-02-10,2022-01-23
H1077,TTCRA,E01,2022-01-13,2022-02-10,2022-01-23
